辞書,文境界,書字形（＝表層形）,仮名形出現形,
上代（万葉集）Unidic (Ver.1603),B,篭,カゴ
上代（万葉集）Unidic (Ver.1603),I,も,モ
上代（万葉集）Unidic (Ver.1603),I,よ,ヨ
上代（万葉集）Unidic (Ver.1603),I,　,
上代（万葉集）Unidic (Ver.1603),I,み,ミ
上代（万葉集）Unidic (Ver.1603),I,篭,カゴ
上代（万葉集）Unidic (Ver.1603),I,持ち,モチ
上代（万葉集）Unidic (Ver.1603),I,　,
上代（万葉集）Unidic (Ver.1603),I,堀,ホリ
上代（万葉集）Unidic (Ver.1603),I,串,クシ
上代（万葉集）Unidic (Ver.1603),I,も,モ
上代（万葉集）Unidic (Ver.1603),I,よ,ヨ
上代（万葉集）Unidic (Ver.1603),I,　,
上代（万葉集）Unidic (Ver.1603),I,み,ミ
上代（万葉集）Unidic (Ver.1603),I,堀,ホル
上代（万葉集）Unidic (Ver.1603),I,串,クシ
上代（万葉集）Unidic (Ver.1603),I,持ち,モチ
上代（万葉集）Unidic (Ver.1603),I,　,
上代（万葉集）Unidic (Ver.1603),I,こ,コ
上代（万葉集）Unidic (Ver.1603),I,の,ノ
上代（万葉集）Unidic (Ver.1603),I,岡,オカ
上代（万葉集）Unidic (Ver.1603),I,に,ニ
上代（万葉集）Unidic (Ver.1603),I,　,
上代（万葉集）Unidic (Ver.1603),I,菜,ナ
上代（万葉集）Unidic (Ver.1603),I,摘ま,ツマ
上代（万葉集）Unidic (Ver.1603),I,す,ス
上代（万葉集）Unidic (Ver.1603),I,子,コ
上代（万葉集）Unidic (Ver.1603),I,　,
上代（万葉集）Unidic (Ver.1603),I,家,イエ
上代（万葉集）Unidic (Ver.1603),I,聞か,キカ
上代（万葉集）Unidic (Ver.1603),I,な,ナ
上代（万葉集）Unidic (Ver.1603),I,　,
上代（万葉集）Unidic (Ver.1603),I,告ら,ノラ
上代（万葉集）Unidic (Ver.1603),I,さ,サ
上代（万葉集）Unidic (Ver.1603),I,ね,ネ
上代（万葉集）Unidic (Ver.1603),I,　,
上代（万葉集）Unidic (Ver.1603),I,そらみつ,ソラミツ
上代（万葉集）Unidic (Ver.1603),I,　,
上代（万葉集）Unidic (Ver.1603),I,大和,ヤマト
上代（万葉集）Unidic (Ver.1603),I,の,ノ
上代（万葉集）Unidic (Ver.1603),I,国,クニ
上代（万葉集）Unidic (Ver.1603),I,は,ハ
上代（万葉集）Unidic (Ver.1603),I,　,
上代（万葉集）Unidic (Ver.1603),I,おし,オシ
上代（万葉集）Unidic (Ver.1603),I,なべ,ナベ
上代（万葉集）Unidic (Ver.1603),I,て,テ
上代（万葉集）Unidic (Ver.1603),I,　,
上代（万葉集）Unidic (Ver.1603),I,我れ,オレ
上代（万葉集）Unidic (Ver.1603),I,こそ,コソ
上代（万葉集）Unidic (Ver.1603),I,居れ,オレ
上代（万葉集）Unidic (Ver.1603),I,　,
上代（万葉集）Unidic (Ver.1603),I,しき,シキ
上代（万葉集）Unidic (Ver.1603),I,なべ,ナベ
上代（万葉集）Unidic (Ver.1603),I,て,テ
上代（万葉集）Unidic (Ver.1603),I,　,
上代（万葉集）Unidic (Ver.1603),I,我れ,オレ
上代（万葉集）Unidic (Ver.1603),I,こそ,コソ
上代（万葉集）Unidic (Ver.1603),I,座せ,オワセ
上代（万葉集）Unidic (Ver.1603),I,　,
上代（万葉集）Unidic (Ver.1603),I,我れ,オレ
上代（万葉集）Unidic (Ver.1603),I,こそ,コソ
上代（万葉集）Unidic (Ver.1603),I,ば,バ
上代（万葉集）Unidic (Ver.1603),I,　,
上代（万葉集）Unidic (Ver.1603),I,告ら,ノラ
上代（万葉集）Unidic (Ver.1603),I,め,メ
上代（万葉集）Unidic (Ver.1603),I,　,
上代（万葉集）Unidic (Ver.1603),I,家,イエ
上代（万葉集）Unidic (Ver.1603),I,を,ヲ
上代（万葉集）Unidic (Ver.1603),I,も,モ
上代（万葉集）Unidic (Ver.1603),I,名,ナ
上代（万葉集）Unidic (Ver.1603),I,を,ヲ
上代（万葉集）Unidic (Ver.1603),I,も,モ
上代（万葉集）Unidic (Ver.1603),B,大和,ヤマト
上代（万葉集）Unidic (Ver.1603),I,に,ニ
上代（万葉集）Unidic (Ver.1603),I,は,ハ
上代（万葉集）Unidic (Ver.1603),I,　,
上代（万葉集）Unidic (Ver.1603),I,群山,ムラヤマ
上代（万葉集）Unidic (Ver.1603),I,あれ,アレ
上代（万葉集）Unidic (Ver.1603),I,ど,ド
上代（万葉集）Unidic (Ver.1603),I,　,
